Matthew 1:1     The book of the generation of Jesus Christ, the son of David, the son of Abraham.
1 Corinthians 1:2     Unto the church of God which is at Corinth, to them that are sanctified in Christ Jesus, called to be saints, with all that in every place call upon the name of Jesus Christ our Lord, both theirs and ours:
1 Corinthians 1:3     Grace be unto you, and peace, from God our Father, and from the Lord Jesus Christ.
1 Corinthians 1:4     I thank my God always on your behalf, for the grace of God which is given you by Jesus Christ;
1 Corinthians 1:7     So that ye come behind in no gift; waiting for the coming of our Lord Jesus Christ:
1 Corinthians 1:8     Who shall also confirm you unto the end, that ye may be blameless in the day of our Lord Jesus Christ.
1 Corinthians 1:9     God is faithful, by whom ye were called unto the fellowship of his Son Jesus Christ our Lord.
1 Corinthians 1:10     Now I beseech you, brethren, by the name of our Lord Jesus Christ, that ye all speak the same thing, and that there be no divisions among you; but that ye be perfectly joined together in the same mind and in the same judgment.
1 Corinthians 2:2     For I determined not to know any thing among you, save Jesus Christ, and him crucified.
1 Corinthians 3:11     For other foundation can no man lay than that is laid, which is Jesus Christ.
1 Corinthians 5:4     In the name of our Lord Jesus Christ, when ye are gathered together, and my spirit, with the power of our Lord Jesus Christ,
1 Corinthians 8:6     But to us there is but one God, the Father, of whom are all things, and we in him; and one Lord Jesus Christ, by whom are all things, and we by him.
1 Corinthians 9:1     Am I not an apostle? am I not free? have I not seen Jesus Christ our Lord? are not ye my work in the Lord?
1 Corinthians 15:57     But thanks be to God, which giveth us the victory through our Lord Jesus Christ.
1 Corinthians 16:22     If any man love not the Lord Jesus Christ, let him be Anathema Maran-atha.
1 Corinthians 16:23     The grace of our Lord Jesus Christ be with you.
2 Corinthians 1:1     Paul, an apostle of Jesus Christ by the will of God, and Timothy our brother, unto the church of God which is at Corinth, with all the saints which are in all Achaia:
2 Corinthians 1:2     Grace be to you and peace from God our Father, and from the Lord Jesus Christ.
2 Corinthians 1:3     Blessed be God, even the Father of our Lord Jesus Christ, the Father of mercies, and the God of all comfort;
2 Corinthians 1:19     For the Son of God, Jesus Christ, who was preached among you by us, even by me and Silvanus and Timotheus, was not yea and nay, but in him was yea.
2 Corinthians 4:6     For God, who commanded the light to shine out of darkness, hath shined in our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ.
2 Corinthians 5:18     And all things are of God, who hath reconciled us to himself by Jesus Christ, and hath given to us the ministry of reconciliation;
2 Corinthians 8:9     For ye know the grace of our Lord Jesus Christ, that, though he was rich, yet for your sakes he became poor, that ye through his poverty might be rich.
2 Corinthians 11:31     The God and Father of our Lord Jesus Christ, which is blessed for evermore, knoweth that I lie not.
2 Corinthians 13:5     Examine yourselves, whether ye be in the faith; prove your own selves. Know ye not your own selves, how that Jesus Christ is in you, except ye be reprobates?
2 Corinthians 13:14     The grace of the Lord Jesus Christ, and the love of God, and the communion of the Holy Ghost, be with you all. Amen.
Galatians 1:1     Paul, an apostle, (not of men, neither by man, but by Jesus Christ, and God the Father, who raised him from the dead;)
Galatians 1:3     Grace be to you and peace from God the Father, and from our Lord Jesus Christ,
Galatians 1:12     For I neither received it of man, neither was I taught it, but by the revelation of Jesus Christ.
Galatians 2:16     Knowing that a man is not justified by the works of the law, but by the faith of Jesus Christ, even we have believed in Jesus Christ, that we might be justified by the faith of Christ, and not by the works of the law: for by the works of the law shall no flesh be justified.
Galatians 3:1     O foolish Galatians, who hath bewitched you, that ye should not obey the truth, before whose eyes Jesus Christ hath been evidently set forth, crucified among you?
Galatians 3:14     That the blessing of Abraham might come on the Gentiles through Jesus Christ; that we might receive the promise of the Spirit through faith.
Galatians 3:22     But the scripture hath concluded all under sin, that the promise by faith of Jesus Christ might be given to them that believe.
Galatians 5:6     For in Jesus Christ neither circumcision availeth any thing, nor uncircumcision; but faith which worketh by love.
Galatians 6:14     But God forbid that I should glory, save in the cross of our Lord Jesus Christ, by whom the world is crucified unto me, and I unto the world.
Galatians 6:18     Brethren, the grace of our Lord Jesus Christ be with your spirit. Amen.
Ephesians 1:1     Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus:
Ephesians 1:2     Grace be to you, and peace, from God our Father, and from the Lord Jesus Christ.
Ephesians 1:3     Blessed be the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly places in Christ:
Ephesians 1:5     Having predestinated us unto the adoption of children by Jesus Christ to himself, according to the good pleasure of his will,
Ephesians 1:17     That the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and revelation in the knowledge of him:
Ephesians 2:20     And are built upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner stone;
Ephesians 3:1     For this cause I Paul, the prisoner of Jesus Christ for you Gentiles,
Ephesians 3:9     And to make all men see what is the fellowship of the mystery, which from the beginning of the world hath been hid in God, who created all things by Jesus Christ:
Ephesians 3:14     For this cause I bow my knees unto the Father of our Lord Jesus Christ,
Ephesians 5:20     Giving thanks always for all things unto God and the Father in the name of our Lord Jesus Christ;
Ephesians 6:23     Peace be to the brethren, and love with faith, from God the Father and the Lord Jesus Christ.
Ephesians 6:24     Grace be with all them that love our Lord Jesus Christ in sincerity. Amen.
Philippians 1:1     Paul and Timotheus, the servants of Jesus Christ, to all the saints in Christ Jesus which are at Philippi, with the bishops and deacons:
Philippians 1:2     Grace be unto you, and peace, from God our Father, and from the Lord Jesus Christ.
Philippians 1:6     Being confident of this very thing, that he which hath begun a good work in you will perform it until the day of Jesus Christ:
Philippians 1:8     For God is my record, how greatly I long after you all in the bowels of Jesus Christ.
Philippians 1:11     Being filled with the fruits of righteousness, which are by Jesus Christ, unto the glory and praise of God.
Philippians 1:19     For I know that this shall turn to my salvation through your prayer, and the supply of the Spirit of Jesus Christ,
Philippians 1:26     That your rejoicing may be more abundant in Jesus Christ for me by my coming to you again.
Philippians 2:11     And that every tongue should confess that Jesus Christ is Lord, to the glory of God the Father.
Philippians 2:21     For all seek their own, not the things which are Jesus Christ's.
Philippians 3:20     For our conversation is in heaven; from whence also we look for the Saviour, the Lord Jesus Christ:
Philippians 4:23     The grace of our Lord Jesus Christ be with you all. Amen.
Colossians 1:1     Paul, an apostle of Jesus Christ by the will of God, and Timotheus our brother,
Colossians 1:2     To the saints and faithful brethren in Christ which are at Colosse: Grace be unto you, and peace, from God our Father and the Lord Jesus Christ.
Colossians 1:3     We give thanks to God and the Father of our Lord Jesus Christ, praying always for you,
1 Thessalonians 1:1     Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians which is in God the Father and in the Lord Jesus Christ: Grace be unto you, and peace, from God our Father, and the Lord Jesus Christ.
1 Thessalonians 1:3     Remembering without ceasing your work of faith, and labour of love, and patience of hope in our Lord Jesus Christ, in the sight of God and our Father;
1 Thessalonians 2:19     For what is our hope, or joy, or crown of rejoicing? Are not even ye in the presence of our Lord Jesus Christ at his coming?
1 Thessalonians 3:11     Now God himself and our Father, and our Lord Jesus Christ, direct our way unto you.
1 Thessalonians 3:13     To the end he may stablish your hearts unblameable in holiness before God, even our Father, at the coming of our Lord Jesus Christ with all his saints.
1 Thessalonians 5:9     For God hath not appointed us to wrath, but to obtain salvation by our Lord Jesus Christ,
1 Thessalonians 5:23     And the very God of peace sanctify you wholly; and I pray God your whole spirit and soul and body be preserved blameless unto the coming of our Lord Jesus Christ.
1 Thessalonians 5:28     The grace of our Lord Jesus Christ be with you. Amen.
2 Thessalonians 1:1     Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians in God our Father and the Lord Jesus Christ:
2 Thessalonians 1:2     Grace unto you, and peace, from God our Father and the Lord Jesus Christ.
2 Thessalonians 1:8     In flaming fire taking vengeance on them that know not God, and that obey not the gospel of our Lord Jesus Christ:
2 Thessalonians 1:12     That the name of our Lord Jesus Christ may be glorified in you, and ye in him, according to the grace of our God and the Lord Jesus Christ.
2 Thessalonians 2:1     Now we beseech you, brethren, by the coming of our Lord Jesus Christ, and by our gathering together unto him,
2 Thessalonians 2:14     Whereunto he called you by our gospel, to the obtaining of the glory of our Lord Jesus Christ.
2 Thessalonians 2:16     Now our Lord Jesus Christ himself, and God, even our Father, which hath loved us, and hath given us everlasting consolation and good hope through grace,
2 Thessalonians 3:6     Now we command you, brethren, in the name of our Lord Jesus Christ, that ye withdraw yourselves from every brother that walketh disorderly, and not after the tradition which he received of us.
2 Thessalonians 3:12     Now them that are such we command and exhort by our Lord Jesus Christ, that with quietness they work, and eat their own bread.
2 Thessalonians 3:18     The grace of our Lord Jesus Christ be with you all. Amen.
1 Timothy 1:1     Paul, an apostle of Jesus Christ by the commandment of God our Saviour, and Lord Jesus Christ, which is our hope;
1 Timothy 1:2     Unto Timothy, my own son in the faith: Grace, mercy, and peace, from God our Father and Jesus Christ our Lord.
1 Timothy 1:16     Howbeit for this cause I obtained mercy, that in me first Jesus Christ might shew forth all longsuffering, for a pattern to them which should hereafter believe on him to life everlasting.
1 Timothy 4:6     If thou put the brethren in remembrance of these things, thou shalt be a good minister of Jesus Christ, nourished up in the words of faith and of good doctrine, whereunto thou hast attained.
1 Timothy 5:21     I charge thee before God, and the Lord Jesus Christ, and the elect angels, that thou observe these things without preferring one before another, doing nothing by partiality.
1 Timothy 6:3     If any man teach otherwise, and consent not to wholesome words, even the words of our Lord Jesus Christ, and to the doctrine which is according to godliness;
1 Timothy 6:14     That thou keep this commandment without spot, unrebukeable, until the appearing of our Lord Jesus Christ:
2 Timothy 1:1     Paul, an apostle of Jesus Christ by the will of God, according to the promise of life which is in Christ Jesus,
2 Timothy 1:10     But is now made manifest by the appearing of our Saviour Jesus Christ, who hath abolished death, and hath brought life and immortality to light through the gospel:
2 Timothy 2:3     Thou therefore endure hardness, as a good soldier of Jesus Christ.
2 Timothy 2:8     Remember that Jesus Christ of the seed of David was raised from the dead according to my gospel:
2 Timothy 4:1     I charge thee therefore before God, and the Lord Jesus Christ, who shall judge the quick and the dead at his appearing and his kingdom;
2 Timothy 4:22     The Lord Jesus Christ be with thy spirit. Grace be with you. Amen.
Titus 1:1     Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;
Titus 1:4     To Titus, mine own son after the common faith: Grace, mercy, and peace, from God the Father and the Lord Jesus Christ our Saviour.
Titus 2:13     Looking for that blessed hope, and the glorious appearing of the great God and our Saviour Jesus Christ;
Titus 3:6     Which he shed on us abundantly through Jesus Christ our Saviour;
Philemon 1:1     Paul, a prisoner of Jesus Christ, and Timothy our brother, unto Philemon our dearly beloved, and fellowlabourer,
Philemon 1:3     Grace to you, and peace, from God our Father and the Lord Jesus Christ.
Philemon 1:9     Yet for love's sake I rather beseech thee, being such an one as Paul the aged, and now also a prisoner of Jesus Christ.
Philemon 1:25     The grace of our Lord Jesus Christ be with your spirit. Amen.
Hebrews 10:10     By the which will we are sanctified through the offering of the body of Jesus Christ once for all.
Hebrews 13:8     Jesus Christ the same yesterday, and to day, and for ever.
Hebrews 13:21     Make you perfect in every good work to do his will, working in you that which is wellpleasing in his sight, through Jesus Christ; to whom be glory for ever and ever. Amen.
James 1:1     James, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are scattered abroad, greeting.
James 2:1     My brethren, have not the faith of our Lord Jesus Christ, the Lord of glory, with respect of persons.
1 Peter 1:1     Peter, an apostle of Jesus Christ, to the strangers scattered throughout Pontus, Galatia, Cappadocia, Asia, and Bithynia,
1 Peter 1:2     Elect according to the foreknowledge of God the Father, through sanctification of the Spirit, unto obedience and sprinkling of the blood of Jesus Christ: Grace unto you, and peace, be multiplied.
1 Peter 1:3     Blessed be the God and Father of our Lord Jesus Christ, which according to his abundant mercy hath begotten us again unto a lively hope by the resurrection of Jesus Christ from the dead,
1 Peter 1:7     That the trial of your faith, being much more precious than of gold that perisheth, though it be tried with fire, might be found unto praise and honour and glory at the appearing of Jesus Christ:
1 Peter 1:13     Wherefore gird up the loins of your mind, be sober, and hope to the end for the grace that is to be brought unto you at the revelation of Jesus Christ;
1 Peter 2:5     Ye also, as lively stones, are built up a spiritual house, an holy priesthood, to offer up spiritual sacrifices, acceptable to God by Jesus Christ.
1 Peter 3:21     The like figure whereunto even baptism doth also now save us (not the putting away of the filth of the flesh, but the answer of a good conscience toward God,) by the resurrection of Jesus Christ:
1 Peter 4:11     If any man speak, let him speak as the oracles of God; if any man minister, let him do it as of the ability which God giveth: that God in all things may be glorified through Jesus Christ, to whom be praise and dominion for ever and ever. Amen.
2 Peter 1:1     Simon Peter, a servant and an apostle of Jesus Christ, to them that have obtained like precious faith with us through the righteousness of God and our Saviour Jesus Christ:
2 Peter 1:8     For if these things be in you, and abound, they make you that ye shall neither be barren nor unfruitful in the knowledge of our Lord Jesus Christ.
2 Peter 1:11     For so an entrance shall be ministered unto you abundantly into the everlasting kingdom of our Lord and Saviour Jesus Christ.
2 Peter 1:14     Knowing that shortly I must put off this my tabernacle, even as our Lord Jesus Christ hath shewed me.
2 Peter 1:16     For we have not followed cunningly devised fables, when we made known unto you the power and coming of our Lord Jesus Christ, but were eyewitnesses of his majesty.
2 Peter 2:20     For if after they have escaped the pollutions of the world through the knowledge of the Lord and Saviour Jesus Christ, they are again entangled therein, and overcome, the latter end is worse with them than the beginning.
2 Peter 3:18     But grow in grace, and in the knowledge of our Lord and Saviour Jesus Christ. To him be glory both now and for ever. Amen.
1 John 1:3     That which we have seen and heard declare we unto you, that ye also may have fellowship with us: and truly our fellowship is with the Father, and with his Son Jesus Christ.
1 John 1:7     But if we walk in the light, as he is in the light, we have fellowship one with another, and the blood of Jesus Christ his Son cleanseth us from all sin.
1 John 2:1     My little children, these things write I unto you, that ye sin not. And if any man sin, we have an advocate with the Father, Jesus Christ the righteous:
1 John 3:23     And this is his commandment, That we should believe on the name of his Son Jesus Christ, and love one another, as he gave us commandment.
1 John 4:2     Hereby know ye the Spirit of God: Every spirit that confesseth that Jesus Christ is come in the flesh is of God:
1 John 4:3     And every spirit that confesseth not that Jesus Christ is come in the flesh is not of God: and this is that spirit of antichrist, whereof ye have heard that it should come; and even now already is it in the world.
1 John 5:6     This is he that came by water and blood, even Jesus Christ; not by water only, but by water and blood. And it is the Spirit that beareth witness, because the Spirit is truth.
1 John 5:20     And we know that the Son of God is come, and hath given us an understanding, that we may know him that is true, and we are in him that is true, even in his Son Jesus Christ. This is the true God, and eternal life.
2 John 1:3     Grace be with you, mercy, and peace, from God the Father, and from the Lord Jesus Christ, the Son of the Father, in truth and love.
2 John 1:7     For many deceivers are entered into the world, who confess not that Jesus Christ is come in the flesh. This is a deceiver and an antichrist.
Jude 1:1     Jude, the servant of Jesus Christ, and brother of James, to them that are sanctified by God the Father, and preserved in Jesus Christ, and called:
Jude 1:4     For there are certain men crept in unawares, who were before of old ordained to this condemnation, ungodly men, turning the grace of our God into lasciviousness, and denying the only Lord God, and our Lord Jesus Christ.
Jude 1:17     But, beloved, remember ye the words which were spoken before of the apostles of our Lord Jesus Christ;
Jude 1:21     Keep yourselves in the love of God, looking for the mercy of our Lord Jesus Christ unto eternal life.
Revelation 1:1     The Revelation of Jesus Christ, which God gave unto him, to shew unto his servants things which must shortly come to pass; and he sent and signified it by his angel unto his servant John:
Revelation 1:2     Who bare record of the word of God, and of the testimony of Jesus Christ, and of all things that he saw.
Revelation 1:5     And from Jesus Christ, who is the faithful witness, and the first begotten of the dead, and the prince of the kings of the earth. Unto him that loved us, and washed us from our sins in his own blood,
Revelation 1:9     I John, who also am your brother, and companion in tribulation, and in the kingdom and patience of Jesus Christ, was in the isle that is called Patmos, for the word of God, and for the testimony of Jesus Christ.
Revelation 12:17     And the dragon was wroth with the woman, and went to make war with the remnant of her seed, which keep the commandments of God, and have the testimony of Jesus Christ.
Revelation 22:21     The grace of our Lord Jesus Christ be with you all. Amen.
189 results found
